Tag,ID,FvFm,Treatment,Genotype,Replicate,Species,Temperature,Phase,Time,D_toWhite,R_blank,G_blank,B_blank,R_coral,G_coral,B_coral
C-5-1_F,C-5-1,0.451,C,5,1,Acropora hemprichii,31.81368785,F,18,70.17243696,203.3483167,198.3070401,195.4294749,50.11131517,23.0965313,16.10259177
C-5-1_I,C-5-1,0.532,C,5,1,Acropora hemprichii,31.81368785,I,0,65.94670056,189.4926103,182.3939287,181.3370145,46.71187569,20.49300777,14.06872364
C-5-1_Middle,C-5-1,0.283,C,5,1,Acropora hemprichii,31.81368785,Middle,7,NA,NA,NA,NA,NA,NA,NA
C-5-2_F,C-5-2,0.448,C,5,2,Acropora hemprichii,31.81342634,F,18,71.8974089,202.7859978,197.5462694,195.2656371,43.80807245,19.4109185,12.56905563
C-5-2_I,C-5-2,0.532,C,5,2,Acropora hemprichii,31.81342634,I,0,66.62044558,189.4926103,182.3939287,181.3370145,42.71608704,19.1952397,13.06434336
C-5-2_Middle,C-5-2,0.313,C,5,2,Acropora hemprichii,31.81342634,Middle,7,NA,NA,NA,NA,NA,NA,NA
T1-5-1_F,T1-5-1,0.396,T1,5,1,Acropora hemprichii,33.65498611,F,18,65.88480262,203.3483167,198.3070401,195.4294749,59.9852113,32.58806991,26.87814383
T1-5-1_I,T1-5-1,0.516,T1,5,1,Acropora hemprichii,33.65498611,I,0,66.02674508,189.4926103,182.3939287,181.3370145,44.93868347,20.94706716,15.38854037
T1-5-1_Middle,T1-5-1,0.244,T1,5,1,Acropora hemprichii,33.65498611,Middle,7,NA,NA,NA,NA,NA,NA,NA
T1-5-2_F,T1-5-2,0.392,T1,5,2,Acropora hemprichii,34.09503478,F,18,73.9862198,202.7859978,197.5462694,195.2656371,33.52661034,15.1832704,13.6840175
T1-5-2_I,T1-5-2,0.457,T1,5,2,Acropora hemprichii,34.09503478,I,0,68.99625291,189.4926103,182.3939287,181.3370145,32.60225193,14.24133286,14.09795649
T1-5-2_Middle,T1-5-2,0.303,T1,5,2,Acropora hemprichii,34.09503478,Middle,7,NA,NA,NA,NA,NA,NA,NA
T2-5-1_F,T2-5-1,0,T2,5,1,Acropora hemprichii,36.10948895,F,18,50.01564584,203.06107,197.9103429,195.4444993,91.47334361,68.72765794,58.21646122
T2-5-1_I,T2-5-1,0.514,T2,5,1,Acropora hemprichii,36.10948895,I,0,60.17116767,189.4926103,182.3939287,181.3370145,60.61721697,32.98613126,27.18331109
T2-5-1_Middle,T2-5-1,0.122,T2,5,1,Acropora hemprichii,36.10948895,Middle,7,NA,NA,NA,NA,NA,NA,NA
T2-5-2_F,T2-5-2,0.29,T2,5,2,Acropora hemprichii,35.57866298,F,18,52.34405245,202.9671618,197.6083968,195.5745627,84.33486667,62.48046837,55.66102529
T2-5-2_I,T2-5-2,0.519,T2,5,2,Acropora hemprichii,35.57866298,I,0,65.68437644,189.4926103,182.3939287,181.3370145,46.01968238,21.13602601,13.85069401
T2-5-2_Middle,T2-5-2,0.097,T2,5,2,Acropora hemprichii,35.57866298,Middle,7,NA,NA,NA,NA,NA,NA,NA
T3-5-1_F,T3-5-1,0,T3,5,1,Acropora hemprichii,37.86072744,F,18,54.87229494,203.06107,197.9103429,195.4444993,86.00025187,59.42477287,41.3060358
T3-5-1_I,T3-5-1,0.529,T3,5,1,Acropora hemprichii,37.86072744,I,0,67.70937138,189.4926103,182.3939287,181.3370145,38.99721582,17.23474918,11.20836579
T3-5-1_Middle,T3-5-1,0,T3,5,1,Acropora hemprichii,37.86072744,Middle,7,NA,NA,NA,NA,NA,NA,NA
T3-5-2_F,T3-5-2,0.144,T3,5,2,Acropora hemprichii,36.32067772,F,18,55.20630073,202.9671618,197.6083968,195.5745627,79.12730323,56.31063608,46.50334095
