ID,Tag,Treatment,Genotype,Replicate,Species,Temperature,Phase,Time,FvFm,R_blank,G_blank,B_blank,R_coral,G_coral,B_coral
C-3-1,C-3-1_I,C,3,1,Acropora hemprichii,31.81368785,I,0,0.492,194.3338776,193.3338776,191.3142857,48.70228366,26.96478596,16.23288571
C-3-1,C-3-1_Middle,C,3,1,Acropora hemprichii,31.81368785,Middle,7,0.428,NA,NA,NA,NA,NA,NA
C-3-1,C-3-1_F,C,3,1,Acropora hemprichii,31.81368785,F,18,0.413,197.4918367,195.7571429,192.8591837,62.40173515,35.07815879,20.16682113
T1-3-1,T1-3-1_I,T1,3,1,Acropora hemprichii,33.65498611,I,0,0.599,194.3338776,193.3338776,191.3142857,47.24178688,25.84482705,12.3914689
T1-3-1,T1-3-1_Middle,T1,3,1,Acropora hemprichii,33.65498611,Middle,7,0.359,NA,NA,NA,NA,NA,NA
T1-3-1,T1-3-1_F,T1,3,1,Acropora hemprichii,33.65498611,F,18,0.468,197.4918367,195.7571429,192.8591837,75.62395707,47.88204951,27.61229012
T2-3-1,T2-3-1_I,T2,3,1,Acropora hemprichii,36.10948895,I,0,0.575,194.3338776,193.3338776,191.3142857,45.29,24.34,13.07
T2-3-1,T2-3-1_Middle,T2,3,1,Acropora hemprichii,36.10948895,Middle,7,0.132,NA,NA,NA,NA,NA,NA
T2-3-1,T2-3-1_F,T2,3,1,Acropora hemprichii,36.10948895,F,18,0.107,197.4769388,197.0173469,194.2402041,118.9238535,91.67685981,74.00422928
T3-3-1,T3-3-1_I,T3,3,1,Acropora hemprichii,37.86072744,I,0,0.5,194.3338776,193.3338776,191.3142857,59.66,41.53,13.71
T3-3-1,T3-3-1_Middle,T3,3,1,Acropora hemprichii,37.86072744,Middle,7,0,NA,NA,NA,NA,NA,NA
T3-3-1,T3-3-1_F,T3,3,1,Acropora hemprichii,37.86072744,F,18,0,197.4769388,197.0173469,194.2402041,76.20483554,53.28598429,32.00522828
C-3-2,C-3-2_I,C,3,2,Acropora hemprichii,31.81342634,I,0,0.528,194.3338776,193.3338776,191.3142857,46.2953417,24.16839242,13.90418923
C-3-2,C-3-2_Middle,C,3,2,Acropora hemprichii,31.81342634,Middle,7,0.28,NA,NA,NA,NA,NA,NA
C-3-2,C-3-2_F,C,3,2,Acropora hemprichii,31.81342634,F,18,0.417,196.94,194.8730612,192.0306122,62.34719989,33.64610727,19.55257308
T1-3-2,T1-3-2_I,T1,3,2,Acropora hemprichii,34.09503478,I,0,0.493,194.3338776,193.3338776,191.3142857,44.52620771,24.49337288,14.96270561
T1-3-2,T1-3-2_Middle,T1,3,2,Acropora hemprichii,34.09503478,Middle,7,0.27,NA,NA,NA,NA,NA,NA
T1-3-2,T1-3-2_F,T1,3,2,Acropora hemprichii,34.09503478,F,18,0.384,196.94,194.8730612,192.0306122,74.37445867,45.66831874,26.5469156
T2-3-2,T2-3-2_I,T2,3,2,Acropora hemprichii,35.57866298,I,0,0.571,194.3338776,193.3338776,191.3142857,47.22,25.75,14.86
T2-3-2,T2-3-2_Middle,T2,3,2,Acropora hemprichii,35.57866298,Middle,7,0.112,NA,NA,NA,NA,NA,NA
T2-3-2,T2-3-2_F,T2,3,2,Acropora hemprichii,35.57866298,F,18,0.196,195.9604082,194.9604082,191.0730612,97.32566081,78.55441125,67.99774127
T3-3-2,T3-3-2_I,T3,3,2,Acropora hemprichii,36.32067772,I,0,0.577,194.3338776,193.3338776,191.3142857,62.9,44.6,15.72
T3-3-2,T3-3-2_Middle,T3,3,2,Acropora hemprichii,36.32067772,Middle,7,0,NA,NA,NA,NA,NA,NA
T3-3-2,T3-3-2_F,T3,3,2,Acropora hemprichii,36.32067772,F,18,0.121,195.9604082,194.9604082,191.0730612,73.81059206,53.86854165,38.9011383
C-4-1,C-4-1_I,C,4,1,Acropora hemprichii,31.81368785,I,0,0.539,193.4885714,189.7432653,186.6583674,55.74844626,31.55430474,26.29630151
C-4-1,C-4-1_Middle,C,4,1,Acropora hemprichii,31.81368785,Middle,7,0.26,NA,NA,NA,NA,NA,NA
C-4-1,C-4-1_F,C,4,1,Acropora hemprichii,31.81368785,F,18,0.473,197.4918367,195.7571429,192.8591837,50.90737788,28.621331,23.91473696
T1-4-1,T1-4-1_I,T1,4,1,Acropora hemprichii,33.65498611,I,0,0.495,193.4885714,189.7432653,186.6583674,55.82946538,32.27944217,18.81986582
T1-4-1,T1-4-1_Middle,T1,4,1,Acropora hemprichii,33.65498611,Middle,7,0.212,NA,NA,NA,NA,NA,NA
T1-4-1,T1-4-1_F,T1,4,1,Acropora hemprichii,33.65498611,F,18,0.416,197.4918367,195.7571429,192.8591837,51.79639442,30.13450892,16.83415947
T2-4-1,T2-4-1_I,T2,4,1,Acropora hemprichii,36.10948895,I,0,0.5,193.4885714,189.7432653,186.6583674,51.68308563,28.64766408,24.90317205
T2-4-1,T2-4-1_Middle,T2,4,1,Acropora hemprichii,36.10948895,Middle,7,0.122,NA,NA,NA,NA,NA,NA
T2-4-1,T2-4-1_F,T2,4,1,Acropora hemprichii,36.10948895,F,18,0.287,197.4769388,197.0173469,194.2402041,96.78921854,75.40056234,78.36123715
