ID,Batch (day tissue blast),cells_cm2,chl_a_cm2,chl_c_cm2,chl_c_cm2,total_chl_cm2,chl_per_cell,host_protein_cm2,cells_prot,chl_a_prot,chl_c_prot,total_chl_prot
T2-3-2,5,0.14479974,0.935996714,0.298891335,0.298891335,1.214859318,8.38993E-06,128.4242931,1127.51051,0.007288315,0.000332482,0.009459731
T2-4-1,2,0.101322751,0.725259391,0.225170207,0.225170207,0.93241798,9.20245E-06,194.3570083,521.3228564,0.003731583,0.000165506,0.00479745
T2-4-2,4,0.179244455,1.249031292,0.39918966,0.39918966,1.624526628,9.06319E-06,267.9033208,669.0639537,0.004662246,0.000212864,0.006063854
T2-5-1,1,0.291010136,1.650387101,0.545426116,0.545426116,2.152203853,7.39563E-06,221.6901435,1312.688653,0.007444567,0.000351473,0.009708162
T2-5-2,4,0.392479,1.979354404,0.615266113,0.615266113,2.55654206,6.51383E-06,231.6623869,1694.185254,0.008544134,0.000379411,0.011035637
T2-6-1,1,0.245748607,1.476675611,0.453237512,0.453237512,1.89695288,7.71908E-06,149.291947,1646.094195,0.009891194,0.000433702,0.012706331
T2-6-2,4,0.47390028,3.393186709,1.101129333,1.101129333,4.417096816,9.32073E-06,274.2740111,1727.83516,0.012371521,0.000573529,0.016104686
T2-7-1,1,0.430076538,2.496903158,0.777678309,0.777678309,3.213456318,7.47182E-06,243.0032881,1769.838348,0.010275183,0.000457183,0.013223921
T2-7-2,7,0.331808579,2.288066543,0.699116898,0.699116898,2.933059625,8.83961E-06,240.3976516,1380.248839,0.009517841,0.000415453,0.012200866
T2-8-1,2,0.280479874,1.905495295,0.634945351,0.634945351,2.525283252,9.00344E-06,376.9964016,743.9855474,0.005054412,0.000240603,0.006698428
T2-8-2,4,0.339829231,2.902392857,0.884327697,0.884327697,3.714952969,1.09318E-05,308.0361027,1103.212344,0.009422249,0.000410122,0.012060122
T2-9-1,2,0.043628378,0.205901556,0.064432845,0.064432845,0.259122347,5.93931E-06,120.1152207,363.2210645,0.0017142,7.66322E-05,0.002157282
T2-9-2,5,0.240111667,1.445265953,0.490434976,0.490434976,1.930817556,8.04133E-06,237.8576336,1009.476396,0.006076181,0.000294555,0.008117535
T3-1-1,2,0.142798678,0.73250188,0.223375428,0.223375428,0.951008576,6.65979E-06,170.1870799,839.0688553,0.004304098,0.000187504,0.005588019
T3-1-2,1,0.119375638,0.68129662,0.21980177,0.21980177,0.873728213,7.31915E-06,157.1028312,759.8566918,0.004336629,0.000199871,0.005561505
T3-10-1,5,0.213779914,0.997873396,0.300600253,0.300600253,1.294846088,6.05691E-06,31.34069564,6821.160465,0.031839542,0.001370196,0.041315167
T3-10-2,4,0.131471195,0.74265608,0.21619813,0.21619813,0.956442087,7.27492E-06,156.7716304,838.615986,0.004737184,0.000197009,0.006100862
T3-2-1,2,0.20353811,1.152272737,0.28848976,0.28848976,1.419239218,6.97284E-06,205.3153502,991.3438527,0.005612209,0.000200729,0.006912485
T3-2-2,4,0.168929013,0.962751487,0.320432338,0.320432338,1.255656507,7.43304E-06,71.42932069,2364.981372,0.013478379,0.000640858,0.017579007
T3-3-1,2,0.329369146,2.051050955,0.666007107,0.666007107,2.666051895,8.09442E-06,142.1005821,2317.859231,0.014433797,0.000669553,0.018761724
T3-3-2,4,0.210862517,1.641594182,0.537453469,0.537453469,2.154412188,1.02171E-05,150.871848,1397.626661,0.010880719,0.000508903,0.014279749
T3-4-1,1,0.159564056,0.75341126,0.243914975,0.243914975,0.989226385,6.19956E-06,93.99608434,1697.560671,0.008015347,0.000370707,0.010524123
T3-4-2,4,0.132457011,1.088631628,0.340272905,0.340272905,1.412527439,1.0664E-05,148.8474535,889.884291,0.00731374,0.000326579,0.009489766
T3-5-1,2,0.270123348,1.267029735,0.374373136,0.374373136,1.611487922,5.96575E-06,102.5191499,2634.857475,0.012358957,0.000521677,0.015718897
T3-5-2,6,0.329818173,1.768730013,0.556218212,0.556218212,2.282149164,6.91942E-06,157.2165602,2097.858983,0.011250278,0.000505416,0.014515959
T3-6-1,5,0.108695249,0.62366704,0.194524578,0.194524578,0.80354439,7.39264E-06,71.99415337,1509.778831,0.008662746,0.000385993,0.011161245
T3-6-2,5,0.198539399,1.486259835,0.551867892,0.551867892,2.07455418,1.04491E-05,87.73055429,2263.058756,0.016941188,0.000898641,0.023646883
T3-7-1,4,0.634187776,2.685488444,0.732333473,0.732333473,3.369545202,5.31317E-06,68.63777719,9239.631608,0.039125516,0.002667385,0.049091701
T3-7-2,1,0.070633517,0.37739162,0.090669972,0.090669972,0.458377406,6.48952E-06,110.7588405,637.7235158,0.003407327,0.000116946,0.004138518
T3-8-1,4,0.233441419,1.212991985,0.333040528,0.333040528,1.528323154,6.54692E-06,75.37837962,3096.92806,0.016092041,0.000631179,0.020275352
T3-8-2,2,0.325314379,1.467220147,0.448306567,0.448306567,1.843752082,5.6676E-06,201.7054093,1612.819312,0.007274074,0.000317512,0.009140816
T3-9-1,4,0.90627437,3.690989383,1.006687595,1.006687595,4.624631478,5.1029E-06,136.0772716,6659.998097,0.027124217,0.001056844,0.033985334
T3-9-2,4,0.161443938,0.840619133,0.245334067,0.245334067,1.088429539,6.74184E-06,93.50689328,1726.545845,0.008989916,0.000374814,0.011640099
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
