"Index","Outcome","Covars","p_spearman","ci_lower","ci_upper","p_value","CV_RMSE","R2","RMSE_in","AIC","BIC","N","nGenos","Species","p_adj_BH","Rank"
"r_norm","FvFm","",0.694076132254288,0.530344139886177,0.794615006342567,0.000000681000830235466,0.125393910242877,0.476001269316858,0.119489076349379,-50.4473431909146,-45.3807048285727,40,5,"Acropora hemprichii",0.00000115954195418471,37
"redness_index","FvFm","",0.677819001076385,0.503496896243523,0.787669649060393,0.00000154933777134305,0.124936438249472,0.469819710230769,0.120191810073381,-49.9782289461186,-44.9115905837768,40,5,"Acropora hemprichii",0.00000256863893670032,38
"r_minus_b","FvFm","",0.629987326107872,0.438800318621875,0.766776135753361,0.0000132510448490558,0.138928851096425,0.350471759208445,0.133033833475419,-41.8570610298704,-36.7904226675286,40,5,"Acropora hemprichii",0.0000214055339869362,39
"H_hsv","FvFm","",-0.619838365603748,-0.751524012213395,-0.399229970933331,0.0000199653594550317,0.165344627077816,0.0171420778262789,0.163647154373074,-25.2883306779794,-20.2216923156376,40,5,"Acropora hemprichii",0.0000314454411416749,40
"NRBI","FvFm","",0.582625510421958,0.369318141328203,0.73994190075154,0.0000799589180290734,0.143440673278019,0.30198106589357,0.137910295229309,-38.9770645243647,-33.9104261620229,40,5,"Acropora hemprichii",0.000117149112461201,41
"S_hsv","FvFm","",0.582625510421958,0.369318141328203,0.73994190075154,0.0000799589180290734,0.144612991900423,0.289791653914975,0.139109238226011,-38.2845787820655,-33.2179404197237,40,5,"Acropora hemprichii",0.000117149112461201,42
"KI","FvFm","",-0.582625510421958,-0.73994190075154,-0.369318141328203,0.0000799589180290728,0.171580764312598,0.109309017065171,0.155785350017598,-29.2270117966207,-24.1603734342789,40,5,"Acropora hemprichii",0.000117149112461201,43
"R_minus_G","FvFm","",0.573886127765629,0.333841319852441,0.740098079765585,0.000108125463543753,0.138628573309886,0.345899349057211,0.133501263869415,-41.5764640636275,-36.5098257012857,40,5,"Acropora hemprichii",0.000154816004619465,44
"RGBVI","FvFm","",-0.53357220131869,-0.764629288810332,-0.221397822250408,0.000391937133177135,0.143427723964205,0.331792208440443,0.134933210651253,-40.7229460542298,-35.656307691888,40,5,"Acropora hemprichii",0.000548711986447989,45
"COM_norm","FvFm","",-0.531410848618738,-0.745577598533812,-0.224187870907329,0.000418066554447619,0.139389964427979,0.395939257654075,0.128293127554481,-44.7599232821742,-39.6932849198324,40,5,"Acropora hemprichii",0.000560387083621276,46
"ExGR","FvFm","",-0.531410848618738,-0.745577598533812,-0.224187870907329,0.000418066554447619,0.140115023258388,0.39037661558732,0.128882483282517,-44.3932591134734,-39.3266207511316,40,5,"Acropora hemprichii",0.000560387083621276,47
"ExG","FvFm","",-0.523047353388487,-0.740117334737072,-0.216396420526477,0.000534509710245386,0.141147391632624,0.382077622475884,0.129756776538705,-43.8523997949334,-38.7857614325916,40,5,"Acropora hemprichii",0.000701543994697069,48
"b_norm","FvFm","",-0.501057938962884,-0.691841103994335,-0.235149476673555,0.00099035675199069,0.152390516433044,0.194630670657751,0.148136005538212,-33.2548750124762,-28.1882366501344,40,5,"Acropora hemprichii",0.00127331582398803,49
"COM_raw","FvFm","",-0.476343340698211,-0.711619096699993,-0.168254070281439,0.00188912385727212,0.152285846435511,0.291349872459832,0.138956549495663,-38.3724364056564,-33.3057980433146,40,5,"Acropora hemprichii",0.00238029606016287,50
"WI","FvFm","",-0.461965646650701,-0.696600164517589,-0.141533276099168,0.00269225680329607,0.155220868488022,0.26307439560711,0.141701650792602,-36.8074359388945,-31.7407975765527,40,5,"Acropora hemprichii",0.00326177266553178,51
"hue_angle","FvFm","",-0.461965646650701,-0.696600164517589,-0.141533276099168,0.00269225680329607,0.171043594043436,0.15732142673162,0.151528408617325,-31.4434898224795,-26.3768514601377,40,5,"Acropora hemprichii",0.00326177266553178,52
"G_minus_B","FvFm","",-0.369403367978826,-0.657688742110018,-0.0234618762368329,0.0189822523778675,0.164941475737139,0.158758436308088,0.151399153708574,-31.51175956491,-26.4451212025682,40,5,"Acropora hemprichii",0.0225638094302954,53
"F_PC2","FvFm","",-0.3253305672711,-0.60672620655837,0.0000188120209021305,0.0405185272739407,0.165125625451576,0.147629830705483,0.152397277154206,-30.9860775301394,-25.9194391677976,40,5,"Acropora hemprichii",0.0472716151529308,54
"Chroma_coral","FvFm","",0.234647725729618,-0.0677361467302744,0.512880637020597,0.145000405338834,0.164539964905273,0.0390289371343307,0.161814800329554,-26.1891417878303,-21.1225034254885,40,5,"Acropora hemprichii",0.166091373388119,55
"ExB","FvFm","",-0.187285910043704,-0.464212880210811,0.119853362558222,0.247184771964947,0.165212889784925,0.0215243648205176,0.163281918483758,-25.4670782151482,-20.4004398528064,40,5,"Acropora hemprichii",0.278082868460565,56
"NGBI","FvFm","",0.160128043509519,-0.157855106921084,0.442003996320924,0.323636421520824,0.165707485241391,0.0179282032945238,0.163581695812165,-25.3203369325598,-20.253698570218,40,5,"Acropora hemprichii",0.357703413259858,57
"b_coral","FvFm","",-0.131654570984059,-0.43998014639643,0.210484408303715,0.418062692729066,0.171806039413293,0.0250806605215799,0.162984922141692,-25.6127241158001,-20.5460857534583,40,5,"Acropora hemprichii",0.454102580033296,58
"g_minus_b","FvFm","",0.0898370948328052,-0.233142751895672,0.38532281517588,0.581442120220093,0.168305193121591,0.000541939251128074,0.165023340475982,-24.618385956068,-19.5517475937262,40,5,"Acropora hemprichii",0.620861924980778,59
"IPCA","FvFm","",-0.0812856558895152,-0.386263566752343,0.256671560221496,0.618047020750464,0.171613548914895,0.0164297088377682,0.163706448824116,-25.259349441244,-20.1927110789022,40,5,"Acropora hemprichii",0.648949371787987,60
"R_minus_B","FvFm","",-0.0730161325157841,-0.376025010935168,0.266837733126973,0.654333943001895,0.171554514890487,0.0100021339432319,0.164240483854308,-24.9988021640983,-19.9321638017565,40,5,"Acropora hemprichii",0.675787514903596,61
"WI_old","FvFm","",0.0357093054774749,-0.281112157461272,0.347538069192818,0.826842012305692,0.16904417434219,0.000441410236984245,0.165031639581887,-24.6143628174232,-19.5477244550814,40,5,"Acropora hemprichii",0.840178173794493,62
"chroma_index","FvFm","",-0.007705692234613,-0.324192888954615,0.320204213825395,0.962361531573992,0.170736128634594,0.00199251151250208,0.1649035429534,-24.6764824781103,-19.6098441157685,40,5,"Acropora hemprichii",0.962361531573992,63
"DeltaE2000","cells_cm2","",0.844465290806754,0.686556829590573,0.918482966765887,0,0.0994379400390042,0.623868745413405,0.0900737774317459,-73.0550129613184,-67.9883745989766,40,5,"Acropora hemprichii",0,1
"G_index","cells_cm2","",-0.841838649155723,-0.917058904575436,-0.695258776294908,0,0.0954279341459748,0.65911314477924,0.0857499335849554,-76.9905147400949,-71.923876377753,40,5,"Acropora hemprichii",0,2
"OSAVI","cells_cm2","",-0.839962476547843,-0.907188106884451,-0.698789935539916,0,0.0873302381437155,0.694855120454131,0.0811300433888854,-81.4210723650971,-76.3544340027553,40,5,"Acropora hemprichii",0,3
