"ID","Species","Treatment","Genotype","Replicate","Temperature","FvFm","R_index","G_index","B_index","r_norm","g_norm","b_norm","Grayscale_weight","int","Grayscale_norm","R_plus_G","R_plus_B","R_minus_G","R_minus_B","G_minus_B","g_minus_r","g_minus_b","r_minus_b","NRBI","NGRI","NGBI","KI","D_toWhite_RGB_corrected","ExG","ExG_2","VEG","ExR","ExB","ExGR","ExGR_2","SAVI","OSAVI","EVI","EVI_2","VDVI","VARI","MGRVI","CIVE_raw","WI","WI_old","redness_index","chroma_index","hue_angle","NDI","GLI2","IPCA","RGBVI","CIVE_norm","COM_raw","COM_norm","ChOL","H_hsv","S_hsv","V_hsv","F_PC1","F_PC2","FvFm_Middle","L_coral","a_coral","b_coral","Chroma_coral","DeltaE76","DeltaE2000","Batch..day.tissue.blast.","cells_cm2","chl_a_cm2","chl_c_cm2","chl_c_cm2.1","total_chl_cm2","chl_per_cell","host_protein_cm2","cells_prot","chl_a_prot","chl_c_prot","total_chl_prot","D_toWhite_RGB","D_toWhite"
"T3-5-2","Acropora hemprichii","T3",5,2,36.32067772,0.144,80.6807481,57.79273535,45.85897691,0.437691483867958,0.313524461384236,0.248784054747806,63.27580270009,61.4441534533333,64.8416948002522,138.47348345,126.53972501,22.88801275,34.82177119,11.93375844,-0.124167022483722,0.0647404066364299,0.188907429120152,0.275184501841206,-0.16528805501065,0.115133249415749,2.31696278916363,230.632826770257,-10.95425431,-0.0594266158472926,0.864576453647428,0.299243616030906,0.0347732152626924,-11.2534979260309,-0.358670231878198,-0.148855626746383,-0.204397799112301,-0.149685895890928,-0.131311190444957,-0.0452421082319752,-0.247132048801823,-0.321784901109736,21.1075161791,0.521397753939996,0.0861808206356637,2.4560783738798,43.3454895803144,0.343934020192303,0.163116686215218,0.333561731455379,67.0008260772,-0.0511277748638496,18.8246847377139,0.954616558231419,3.46973049081982,0.515301913236233,0.0571182818113279,0.431599508061577,0.00124076506113033,0.218287859570658,-0.286527981448875,0,26.5544786907636,8.30881245031548,11.3927089891373,14.1007156714008,53.7304261412943,52.4951093871074,6,0.329818173,1.768730013,0.556218212,0.556218212,2.282149164,0.00000691942,157.2165602,2097.858983,0.011250278,0.000505416,0.014515959,239.840774075556,55.20630073
"C-6-1","Stylophora pistillata","C",6,1,31.81368785,0.322,76.91661202,54.6080603,22.2520341,0.500183765218139,0.355112692756292,0.144703542025569,57.58973027748,51.25890214,61.0844040988611,131.52467232,99.16864612,22.30855172,54.66457792,32.3560262,-0.145071072461847,0.210409150730724,0.355480223192571,0.551228438208711,-0.169614957608282,0.420973021859833,1.40706495772391,252.127443607575,10.04747448,0.0653380782688764,1.0730184688644,0.345144578549103,-0.152527733920496,9.70232990145089,-0.279806500280226,-0.160560154505234,-0.214328147196443,-0.11087877588839,-0.141917454913704,0.0482159739320123,-0.204154965812081,-0.329743448828538,13.16455790502,1.45038667709622,0.246007274751293,4.86870908711423,67.3260721449778,0.629321409821441,0.167654762856008,0.261782775865278,105.82074790276,0.270685939337839,18.7783823324409,9.8956339153556,8.75355505588516,0.521116691289226,0.0986501906449428,0.710699242782379,0.00118287753971549,-0.596673482756158,0.474725437875757,0.343,24.7300907016645,5.97814130879851,23.73418819479,24.4754951486925,58.9991373737631,55.7754929810481,7,0.751300661,5.261128257,1.514625709,1.514625709,6.653298799,0.00000885571,404.7357039,1856.274735,0.012998923,0.000534608,0.016438626,258.989741410688,60.76846914
"T1-6-1","Stylophora pistillata","T1",6,1,33.65498611,0.312,60.80186019,40.36139614,13.27266727,0.531317948745948,0.352698653274993,0.115983397979059,43.38497979977,38.1453078666667,48.0799387491853,101.16325633,74.07452746,20.44046405,47.52919292,27.08872887,-0.178619295470955,0.236715255295934,0.415334550766889,0.641640177126551,-0.20205423185788,0.505065757612341,1.27925294865285,274.01332937079,6.64826481999999,0.0580959598249792,1.10191614826717,0.391146474969334,-0.19032189610431,6.25711834503066,-0.333050515144355,-0.193587954664129,-0.256632837722879,-0.121651043238555,-0.16992836173017,0.0429481907772468,-0.232567152736296,-0.38825749706957,15.1522072434,1.3252501901981,0.267772409199988,6.9009573769771,58.4006505271841,0.604182207351281,0.199794159378229,0.214432649194136,91.95887034825,0.337448358027448,18.7829958058517,8.67166003662326,7.8927696041798,0.515357801800806,0.0949897919074532,0.781706230228414,0.000935053597693195,-1.76593483876753,0.192809594098566,0.374,18.1783583979329,6.32658895942539,20.780435980954,21.7221602843743,64.181172373286,62.1356596929193,1,0.719700235,5.742745092,1.377589576,1.377589576,6.985467994,0.00000970608,341.7363509,2106.010183,0.016804607,0.000575878,0.020441103,283.732717416263,66.42617504
"T2-6-1","Stylophora pistillata","T2",6,1,36.10948895,0.063,109.9066146,84.62034615,44.79280656,0.459245869387938,0.353586948128643,0.187167182483418,87.64060090329,79.77325577,88.77855211759,194.52696075,154.69942116,25.28626845,65.11380804,39.82753959,-0.105658921259295,0.166419765645225,0.27207868690452,0.420905311421011,-0.129988503148914,0.307754959646559,1.68791563430729,206.485282985416,14.54127114,0.0607608443859305,1.03814865822932,0.28935726901447,-0.0915528926518577,14.2519138709855,-0.228596424628539,-0.12072244064461,-0.162914304529247,-0.0976403700662638,-0.107561598394392,0.0448887634960823,-0.16887442004657,-0.255657164391431,9.95052260604999,1.57506591645791,0.204740460841236,3.18687177061462,80.4079366691401,0.651825701832243,0.128408735055302,0.321438685526847,126.10904010105,0.185174280740189,18.7779400790334,11.3191422452797,9.88803692267997,0.532360459581217,0.101943404399298,0.592446671903949,0.0016902209088812,1.92800456199229,0.908447636027291,0.247,37.725330781631,5.31544351385668,27.0068939640933,27.5250115592488,49.2892514686246,40.854656801529,1,0.245748607,1.476675611,0.453237512,0.453237512,1.89695288,0.00000771908,149.291947,1646.094195,0.009891194,0.000433702,0.012706331,208.884284060318,48.98515348
"T3-6-1","Stylophora pistillata","T3",6,1,37.86072744,0,110.3910869,94.86050174,74.61471515,0.394442222607952,0.338949349940961,0.266608427451087,97.19612703158,93.28876793,95.5887229436423,205.25158864,185.00580205,15.53058516,35.77637175,20.24578659,-0.0554928726669914,0.0723409224898743,0.127833795156866,0.193379728384578,-0.0756660899090033,0.119461635521262,3.08558642199373,179.806073926104,4.71520143000001,0.0168480498228829,0.979034237229972,0.213269761710172,0.0343024484905604,4.50193166828983,-0.196421711887289,-0.0674881447653041,-0.0931722567776178,-0.0813182715393109,-0.060698080660239,0.0125830374566639,-0.118883625618833,-0.150470681424425,12.62403262271,1.30360745467237,0.0986388788712861,1.72170252346549,43.9435970950722,0.599545180425259,0.0746482401955668,0.410818306718854,69.21286926873,0.0441950331282855,18.7918653069931,6.81279473194885,7.43867350370914,0.532495212563347,0.0943163769814081,0.324087503390638,0.00169767146328335,3.00780078186067,-0.0307321977268081,0.237,41.2202719194894,2.90767042322332,13.9220671455265,14.2224646561219,40.3812046360661,34.9442829874314,5,0.108695249,0.62366704,0.194524578,0.194524578,0.80354439,0.00000739264,71.99415337,1509.778831,0.008662746,0.000385993,0.011161245,178.639161464236,39.86776648
"C-6-2","Stylophora pistillata","C",6,2,31.81342634,0.301,80.94000657,59.06425654,25.57459505,0.488830563693024,0.356713756794517,0.15445567951246,61.78728438911,55.19295272,64.5851233362924,140.00426311,106.51460162,21.87575003,55.36541152,33.48966149,-0.132116806898507,0.202258077282057,0.334374884180564,0.519791753223853,-0.156250599403623,0.395677172608953,1.46192368751312,244.146750018056,11.61391146,0.0701412703835499,1.07097552194885,0.327649032375716,-0.140475805477073,11.2862624276243,-0.257507761992166,-0.147282558686699,-0.197082521685046,-0.10548148536462,-0.130554997843754,0.0516993876064701,-0.191172013349979,-0.30505354534456,12.29215197988,1.5309034636103,0.239204583818191,4.33703536110567,68.3039871374196,0.644121620960613,0.154424269713133,0.279390274853592,107.21121927019,0.255204541783837,18.7758375318483,10.4742838092816,9.15076898454615,0.523081024809415,0.100814029826493,0.684030232591072,0.0012447521194925,-0.250331592027451,0.520646604576483,0.397,26.604102628299,5.41338102755937,24.0841007700605,24.6849874225605,57.0705848252397,53.2194881863101,1,0.549857366,4.089507278,1.196062642,1.196062642,5.21651661,0.00000948704,558.564251,984.4120255,0.007321463,0.000305902,0.009339152,248.952118498829,58.26178103
"T1-6-2","Stylophora pistillata","T1",6,2,34.09503478,0.292,69.00383246,48.38798505,11.48112176,0.535440821408061,0.375470485301984,0.0890886932899548,50.34474101053,42.9576464233333,56.1385670972966,117.39181751,80.48495422,20.61584741,57.5227107,36.90686329,-0.159970336106077,0.286381792012029,0.446352128118107,0.71470141540698,-0.175615710253773,0.616459226744893,1.19959284985504,265.374563584451,16.29101588,0.126411455905952,1.2741903917415,0.374146664669302,-0.250746314696047,15.9168692153307,-0.24773520876335,-0.17007128868975,-0.224066645534153,-0.102023193771479,-0.150318196845769,0.0919041573459849,-0.194653120386097,-0.340723217433248,11.00810716341,1.79021810532502,0.314390424075819,8.57086320321691,71.3862169372705,0.685675960209086,0.173708732795964,0.221443386637983,111.48795459023,0.49436324420551,18.7559754387937,12.6333929455335,10.3408081491819,0.521124346282437,0.106934179679865,0.833616172454547,0.00106118927274125,-1.30908174990454,0.594749267703893,0.36,21.7142333038446,5.21484875275707,25.9166410988508,26.4360914917613,62.2511506698246,59.1385158814788,1,0.520604429,3.070462332,0.839031068,0.839031068,3.832927142,0.00000736246,366.7679255,1419.438267,0.008371676,0.000326805,0.010450552,274.063553271182,64.27168718
"T2-6-2","Stylophora pistillata","T2",6,2,35.57866298,0.175,82.94694956,61.59433037,34.81534862,0.462469384212787,0.343418199081664,0.194112416705549,64.92595958831,59.78554285,66.2711301537231,144.54127993,117.76229818,21.35261919,48.13160094,26.77898175,-0.119051185131122,0.149305782376115,0.268356967507237,0.408718254346826,-0.147726789193654,0.277762378534396,1.72333660090385,234.467535685149,5.42636256000001,0.0302545972449927,0.991496531690759,0.304038938816237,-0.0716608156938954,5.12232362118377,-0.273784341571244,-0.136747435216572,-0.184883604246773,-0.111789710997386,-0.12131518259821,0.0225206099378988,-0.194599571268838,-0.289143539860671,14.50590891869,1.25413100433793,0.185268746499054,3.20840623657475,59.0736761924243,0.588597623602843,0.145916162433075,0.311503469985858,93.09370673577,0.135599641899276,18.7902865868643,7.79921725332572,7.59422949499673,0.52188818916736,0.0927283434964837,0.580269692801467,0.0012756162946559,0.124191037422604,0.258693015995406,0.084,27.7326325491154,5.64391227106714,19.9824733023688,20.7642236792851,54.4071845479831,51.3514788829164,4,0.47390028,3.393186709,1.101129333,1.101129333,4.417096816,0.00000932073,274.2740111,1727.83516,0.012371521,0.000573529,0.016104686,240.691325642216,55.71308248
"T3-6-2","Stylophora pistillata","T3",6,2,36.32067772,0.09,85.09821413,73.61076876,59.53204675,0.389927660579562,0.337291154103446,0.272781185316992,75.44054061649,72.74700988,74.2496309815234,158.70898289,144.63026088,11.48744537,25.56616738,14.07872201,-0.0526365064761156,0.0645099687864541,0.11714647526257,0.176769143776988,-0.0723805619620275,0.105741507388678,3.32854795422215,210.521256762274,2.59127664,0.0118734623103384,0.974299309372407,0.20860757070794,0.0446025053403427,2.38266906929206,-0.196734108397602,-0.0643363341317152,-0.0889913045209518,-0.080681428069719,-0.0578902163675877,0.00887874138246186,-0.115827790382475,-0.14400668073605,14.38406315252,1.22557466490916,0.0887077829725483,1.65252761148529,31.3655978592114,0.582049855170904,0.0713987562820795,0.416839542558735,49.44194729551,0.0336182470415943,18.7935993973959,6.22627663824391,6.90760264574606,0.524882058772715,0.0917796411740981,0.300431303304955,0.00130869994817378,1.18080243843648,-0.414352967327273,0.068,32.0406675715728,2.3293760376138,10.2083937572055,10.4707829614964,47.4949110159992,44.5563369065696,5,0.198539399,1.486259835,0.551867892,0.551867892,2.07455418,0.0000104491,87.73055429,2263.058756,0.016941188,0.000898641,0.023646883,220.911703133931,49.6760882
"C-7-1","Stylophora pistillata","C",7,1,31.81368785,0.312,82.38396769,59.89116907,25.06124737,0.492325492261131,0.357908827666982,0.149765680071887,62.64590478358,55.77879471,65.7486203126709,142.27513676,107.44521506,22.49279862,57.32272032,34.8299217,-0.13441666459415,0.208143147595094,0.342559812189244,0.533506497129627,-0.158093670701877,0.409993301657282,1.43719570931207,244.67433823228,12.33712308,0.0737264830009446,1.08050756867582,0.331346861498602,-0.14823687556634,12.0057762185014,-0.257620378497658,-0.149325930999857,-0.199582406689145,-0.105387831673323,-0.132326435733961,0.0542941333753709,-0.191895335416785,-0.3084773785076,12.00279003807,1.54849213245657,0.244806805273037,4.52188938615429,70.7456267218896,0.647223715929043,0.156255872940971,0.274876954578764,111.00875669046,0.269358750276157,18.774601129085,10.7765952563546,9.33227393728983,0.523586498033934,0.10126851826979,0.695799461075944,0.00126695836509035,-0.192510702198516,0.587943039789906,0.381,27.0241406662001,5.57269326404347,24.9023522544064,25.5182691030888,57.313869579006,52.9820254580619,3,0.593023378,3.216967259,0.822167582,0.822167582,3.96042268,0.00000667836,237.8725563,2493.029828,0.013523911,0.000691267,0.016649347,250.6224063051,58.61118738
"T1-7-1","Stylophora pistillata","T1",7,1,33.65498611,0.275,74.1694138,53.60145174,18.77589686,0.506114311809593,0.365763465955629,0.128122222234778,55.78115913962,48.8489208,59.5492642215379,127.77086554,92.94531066,20.56796206,55.39351694,34.82555488,-0.140350845853965,0.237641243720851,0.377992089574816,0.595979684683965,-0.160975367687096,0.481166491362741,1.33895477119348,256.362343717094,14.25759282,0.097290397866886,1.1418986237509,0.342796570577802,-0.18639235482694,13.9147962494222,-0.245506172710916,-0.153458472899745,-0.20402248533435,-0.101953736394307,-0.135975807163669,0.0712351737998875,-0.188705610076239,-0.31381872899561,11.50155279396,1.69319423958525,0.272562565282909,5.4660355249408,68.5879147881284,0.671121871405891,0.159149997190801,0.258855102767793,107.32763140088,0.347074077026782,18.7659661695117,11.6713773366836,9.82054302397571,0.522161628671543,0.104782282608154,0.74685121672082,0.00114062920107651,-0.802742256479785,0.528039412513232,0.335,24.0335461065034,4.96364986794795,24.8231697640259,25.3145724266721,59.9622973762108,56.6774303829445,4,0.710843042,4.986562353,1.255655546,1.255655546,6.118618721,0.00000860755,422.3492426,1683.069295,0.011806727,0.000424718,0.014487107,264.8387235061,61.88357809
